"id","site","title","company","location","date_posted","job_url","is_remote","min_amount","max_amount","currency"
"li-4338701395","linkedin","Développeur Full-Stack AI-Driven — Architecture & MVP Builder (SaaS Studio)","Assurevo","","2025-11-24","https://www.linkedin.com/jobs/view/4338701395",False,"","",""
"li-4324115467","linkedin","Full Stack Engineer (Python)","ZeinCrew","","2025-11-23","https://www.linkedin.com/jobs/view/4324115467",False,"","",""
"li-4323546050","linkedin","Senior Full Stack Java Developer","Vneuron Risk & Compliance","Tunis, Tunisia","2025-11-21","https://www.linkedin.com/jobs/view/4323546050",False,"","",""
"li-4335534541","linkedin","Développeur Full Stack Senior (Java JEE / Angular)","Sopra Steria","Tunis, Tunis, Tunisia","2025-11-19","https://www.linkedin.com/jobs/view/4335534541",False,"","",""
"li-4321955901","linkedin","Développeur Full Stack Senior (Java JEE / Angular)","Sopra HR Software","Tunis, Tunis, Tunisia","2025-11-19","https://www.linkedin.com/jobs/view/4321955901",False,"","",""
"li-4301381367","linkedin","Développeur / administrateur Salesforce Full Stack senior","Atlas énergies","Tunis, Tunis, Tunisia","2025-11-19","https://www.linkedin.com/jobs/view/4301381367",False,"","",""
"li-4317807328","linkedin","Senior Java and Angular Developer (French speaker) - Relocation to Portugal","Aubay Portugal","Tunis, Tunisia","2025-11-19","https://www.linkedin.com/jobs/view/4317807328",False,"","",""
"li-4341197981","linkedin","Senior Angular Front-End Developer H/F","EY","Tunis, Tunisia","2025-11-18","https://www.linkedin.com/jobs/view/4341197981",False,"","",""
"li-4336880999","linkedin","Senior Frontend Developer – Next.js / React / UI Perfectionist","TRVL CODE","Sousse, Sousse, Tunisia","2025-11-18","https://www.linkedin.com/jobs/view/4336880999",False,"","",""
"li-4340456296","linkedin","Frontend Engineer (React, Mid-Level)","DualEntry","","2025-11-13","https://www.linkedin.com/jobs/view/4340456296",False,"","",""
"li-4335931292","linkedin","Full Stack Developer","The Flex","Tunis, Tunis, Tunisia","2025-11-13","https://www.linkedin.com/jobs/view/4335931292",False,"","",""
"li-4297838152","linkedin","Développeur Senior FullStack JS ( Vue/React/Node)","Devoteam","Tunis, Tunis, Tunisia","2025-11-13","https://www.linkedin.com/jobs/view/4297838152",False,"","",""
"li-4335971272","linkedin","Senior Full Stack Software Engineer","The Flex","Tunis, Tunis, Tunisia","2025-11-13","https://www.linkedin.com/jobs/view/4335971272",False,"","",""
"li-4250610763","linkedin","Symfony/Next.js developer","Linedata","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4250610763",False,"","",""
"li-4339712815","linkedin","Full Stack Developer H/F","EY","Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4339712815",False,"","",""
"li-4294585092","linkedin","Frontend engineer experimenté- Angular","FNZ","Tunis, Tunisia","2025-11-07","https://www.linkedin.com/jobs/view/4294585092",False,"","",""
"li-4321084008","linkedin","RPA Developer Lead","TUI","Sousse, Tunisia","2025-11-06","https://www.linkedin.com/jobs/view/4321084008",False,"","",""
"li-4334325110","linkedin","Full Stack PHP Developer","RGI Group","Tunis, Tunisia","2025-11-05","https://www.linkedin.com/jobs/view/4334325110",False,"","",""
"li-4334374272","linkedin","Full Stack Senior Java Jee - Angular Software Engineer","RGI Group","Tunis, Tunisia","2025-11-05","https://www.linkedin.com/jobs/view/4334374272",False,"","",""
"li-4332005558","linkedin","Full-stack developer with focus on Angular (Located geographically in EMEA)","Acro Companion","","2025-10-27","https://www.linkedin.com/jobs/view/4332005558",False,"","",""
"li-4314197496","linkedin","Poste #4 : Développeur Full-Stack Web en Javascript","PixiMind","Sfax, Sfax, Tunisia","2025-10-13","https://www.linkedin.com/jobs/view/4314197496",False,"","",""
"li-4297645890","linkedin","Poste #8 : Développeur Web (WordPress/Prestashop)","PixiMind","Sfax, Sfax, Tunisia","2025-09-08","https://www.linkedin.com/jobs/view/4297645890",False,"","",""
"li-4289807694","linkedin","JavaScript Developer","Odixcity Consulting","","2025-08-27","https://www.linkedin.com/jobs/view/4289807694",False,"","",""
"li-4284472681","linkedin","Java Full Stack Engineer FS","Yassir","Tunis, Tunisia","2025-08-13","https://www.linkedin.com/jobs/view/4284472681",False,"","",""
"li-4281696680","linkedin","Symfony/Next.js developer","Loansquare","Tunis, Tunis, Tunisia","2025-08-07","https://www.linkedin.com/jobs/view/4281696680",False,"","",""
"li-4263178712","linkedin","Symfony/Next.js developer","Gravitas","Tunis, Tunis, Tunisia","2025-07-09","https://www.linkedin.com/jobs/view/4263178712",False,"","",""
"li-4258456218","linkedin","Senior Full-Stack JS Developer (Node.js, React)","CobbleWeb - The Online Marketplace Experts","","2025-06-27","https://www.linkedin.com/jobs/view/4258456218",False,"","",""
"li-4144898993","linkedin","DÉVELOPPEUR CONFIRMÉ EN ASP.NET WEB FORMS H/F","ADEQUATI","Tunis, Tunis, Tunisia","2025-02-05","https://www.linkedin.com/jobs/view/4144898993",False,"","",""
"li-4324374543","linkedin","Développeur front-end/Développeuse front-end","Oolab","Tunis, Tunisia","","https://www.linkedin.com/jobs/view/4324374543",False,"","",""
"li-4311921763","linkedin","Confirmed Full Stack Developer - Italian Speaker","ADP","Tunis, Tunis, Tunisia","","https://www.linkedin.com/jobs/view/4311921763",False,"","",""
